Date,has_bse,BSE_Close,Gold_Price,DJI_Close,INR_per_USD,DJI_INR,Gold_INR
1977-10-04,0,0.0,162.1,842.0,8.73,7350.660000000001,1415.133
1977-10-07,0,0.0,162.1,840.4,8.62,7244.248,1397.302
1977-10-07,0,0.0,162.1,840.4,8.62,7244.248,1397.302
1977-10-11,0,0.0,162.1,832.3,8.62,7174.425999999999,1397.302
1977-10-17,0,0.0,162.1,820.3,8.58,7038.174,1390.818
1977-11-03,0,0.0,160.45,802.7,8.55,6863.085000000001,1371.8475
1977-11-13,0,0.0,160.45,838.4,8.7,7294.079999999999,1395.9149999999997
1977-11-17,0,0.0,160.45,831.9,8.7,7237.529999999999,1395.9149999999997
1977-11-17,0,0.0,160.45,831.9,8.7,7237.529999999999,1395.9149999999997
1977-11-20,0,0.0,160.45,836.1,8.61,7198.821,1381.4744999999998
1977-11-25,0,0.0,160.45,844.4,8.62,7278.727999999999,1383.0789999999997
1977-12-01,0,0.0,160.45,825.7,8.62,7117.534,1383.0789999999997
1977-12-06,0,0.0,173.18,806.9,8.62,6955.477999999999,1492.8116
1977-12-12,0,0.0,173.18,815.8,8.62,7032.195999999999,1492.8116
1977-12-23,0,0.0,173.18,829.9,8.47,7029.253000000001,1466.8346000000001
1978-01-02,0,0.0,178.14,817.7,8.23,6729.671,1466.0922
1978-01-06,0,0.0,178.14,793.5,8.23,6530.505,1466.0922
1978-01-12,0,0.0,178.14,778.2,8.23,6404.586000000001,1466.0922
1978-01-14,0,0.0,178.14,771.7,8.16,6297.072,1453.6224
1978-01-18,0,0.0,178.14,786.3,8.16,6416.208,1453.6224
1978-01-31,0,0.0,178.14,769.9,8.1,6236.19,1442.9339999999997
1978-02-06,0,0.0,183.61,768.6,8.06,6194.916,1479.8966000000003
1978-02-07,0,0.0,183.61,778.9,8.1,6309.089999999999,1487.241
1978-02-18,0,0.0,183.61,749.3,8.13,6091.809,1492.7493000000002
1978-02-19,0,0.0,183.61,749.3,8.13,6091.809,1492.7493000000002
1978-03-01,0,0.0,183.61,743.3,8.13,6043.029,1492.7493000000002
1978-03-03,0,0.0,175.28,747.3,8.13,6075.549,1425.0264000000002
1978-03-06,0,0.0,175.28,742.7,8.1,6015.87,1419.768
1978-03-17,0,0.0,175.28,768.7,8.23,6326.401000000001,1442.5544
1978-03-22,0,0.0,175.28,757.5,8.23,6234.225,1442.5544
1978-03-23,0,0.0,175.28,756.5,8.33,6301.645,1460.0824
1978-03-27,0,0.0,175.28,753.2,8.33,6274.156000000001,1460.0824
1978-03-29,0,0.0,175.28,761.8,8.33,6345.794,1460.0824
1978-04-05,0,0.0,176.31,763.1,8.33,6356.6230000000005,1468.6623
1978-04-09,0,0.0,176.31,773.7,8.38,6483.606000000001,1477.4778000000001
1978-04-13,0,0.0,176.31,775.2,8.38,6496.176000000001,1477.4778000000001
1978-04-14,0,0.0,176.31,795.1,8.4,6678.84,1481.0040000000001
1978-04-17,0,0.0,176.31,810.1,8.4,6804.84,1481.0040000000001
1978-05-02,0,0.0,183.75,840.2,8.58,7208.916,1576.575
1978-05-06,0,0.0,183.75,824.6,8.55,7050.330000000001,1571.0625000000002
1978-05-13,0,0.0,183.75,846.8,8.64,7316.352,1587.6000000000001
1978-05-14,0,0.0,183.75,846.8,8.64,7316.352,1587.6000000000001
1978-05-15,0,0.0,183.75,846.8,8.64,7316.352,1587.6000000000001
1978-05-16,0,0.0,183.75,854.3,8.64,7381.152,1587.6000000000001
1978-05-16,0,0.0,183.75,854.3,8.64,7381.152,1587.6000000000001
1978-05-21,0,0.0,183.75,855.4,8.67,7416.317999999999,1593.1125
1978-06-13,0,0.0,188.73,857.0,8.44,7233.08,1592.8811999999998
1978-06-15,0,0.0,188.73,844.3,8.44,7125.891999999999,1592.8811999999998
1978-06-20,0,0.0,188.73,830.0,8.44,7005.2,1592.8811999999998
1978-06-24,0,0.0,188.73,812.3,8.33,6766.459,1572.1209
1978-06-29,0,0.0,188.73,821.6,8.33,6843.928,1572.1209
1978-06-30,0,0.0,188.73,819.0,8.33,6822.27,1572.1209
1978-07-22,0,0.0,206.3,831.6,8.13,6760.908000000001,1677.2190000000003
1978-07-23,0,0.0,206.3,831.6,8.13,6760.908000000001,1677.2190000000003
1978-08-02,0,0.0,212.08,883.5,7.97,7041.495,1690.2776000000001
1978-08-04,0,0.0,212.08,888.4,7.97,7080.548,1690.2776000000001
1978-08-08,0,0.0,212.08,889.2,8.03,7140.276,1703.0023999999999
1978-08-15,0,0.0,212.08,887.1,7.9,7008.09,1675.4320000000002
1978-08-20,0,0.0,212.08,889.0,8.03,7138.669999999999,1703.0023999999999
1978-08-20,0,0.0,212.08,889.0,8.03,7138.669999999999,1703.0023999999999
1978-08-30,0,0.0,212.08,880.7,8.16,7186.512000000001,1730.5728000000001
1978-08-30,0,0.0,212.08,880.7,8.16,7186.512000000001,1730.5728000000001
1978-09-03,0,0.0,227.44,886.6,8.16,7234.656,1855.9104
1978-09-20,0,0.0,227.44,857.2,8.01,6866.1720000000005,1821.7944
1978-09-30,0,0.0,227.44,871.4,7.97,6945.058,1812.6968
1978-10-04,0,0.0,206.2,874.0,7.97,6965.78,1643.4139999999998
1978-10-05,0,0.0,206.2,876.5,7.97,6985.705,1643.4139999999998
1978-10-11,0,0.0,206.2,901.4,7.92,7139.088,1633.1039999999998
1978-10-12,0,0.0,206.2,896.7,7.91,7092.897000000001,1631.042
1978-10-17,0,0.0,206.2,866.3,7.87,6817.781,1622.7939999999999
1978-10-17,0,0.0,206.2,866.3,7.87,6817.781,1622.7939999999999
